date,原因,道路番号,発生時刻,ピーク時刻,ピーク長,発生Ｋｐ,発生時渋滞長,渋滞時間
2025-05-01,交通集中,関越道,18:05:00,18:05:00,1.2,0.0,1.2,40
2025-05-02,交通集中,関越道,15:55:00,15:55:00,1.2,0.0,1.2,135
2025-05-02,交通集中,関越道,16:35:00,16:35:00,1.2,28.0,1.2,105
2025-05-03,交通集中,関越道,17:50:00,17:50:00,1.4,4.2,1.4,20
2025-05-03,交通集中,関越道,19:00:00,19:00:00,2.0,13.4,2.0,30
2025-05-03,交通集中,関越道,08:55:00,08:55:00,2.1,79.8,2.1,120
2025-05-04,交通集中,関越道,21:30:00,21:35:00,2.9,4.2,0.0,25
2025-05-04,交通集中,関越道,16:45:00,17:55:00,17.9,11.3,0.0,75
2025-05-04,交通集中,関越道,15:45:00,16:00:00,6.0,13.4,2.0,25
2025-05-04,交通集中,関越道,20:10:00,20:40:00,10.9,13.4,0.0,80
2025-05-04,交通集中,関越道,16:15:00,16:25:00,6.8,21.2,0.0,85
2025-05-04,交通集中,関越道,18:10:00,19:10:00,41.1,21.2,0.0,150
2025-05-04,交通集中,関越道,14:55:00,16:15:00,31.4,33.0,0.0,255
2025-05-04,交通集中,関越道,20:00:00,20:15:00,20.3,33.0,3.1,185
2025-05-04,交通集中,関越道,16:00:00,16:05:00,16.9,47.5,0.0,15
2025-05-04,交通集中,関越道,15:15:00,15:50:00,11.1,53.3,0.0,40
2025-05-04,交通集中,関越道,16:45:00,16:55:00,8.0,60.3,0.0,30
2025-05-04,交通集中,関越道,16:20:00,16:25:00,4.1,62.3,0.0,25
2025-05-04,交通集中,関越道,16:30:00,16:30:00,3.1,75.5,3.1,20
2025-05-04,交通集中,関越道,18:25:00,18:25:00,3.1,75.5,3.1,35
2025-05-04,交通集中,関越道,16:10:00,16:40:00,9.6,93.8,0.0,120
2025-05-05,交通集中,関越道,11:05:00,11:05:00,1.2,0.0,1.2,55
2025-05-05,交通集中,関越道,14:25:00,14:25:00,1.2,0.0,1.2,185
2025-05-05,交通集中,関越道,17:45:00,17:45:00,1.2,0.0,1.2,70
2025-05-05,交通集中,関越道,23:15:00,23:50:00,3.1,0.0,0.0,160
2025-05-05,交通集中,関越道,21:25:00,21:25:00,1.4,4.2,1.4,15
2025-05-05,交通集中,関越道,22:55:00,22:55:00,1.4,4.2,1.4,15
2025-05-05,交通集中,関越道,16:15:00,16:15:00,2.1,11.3,2.1,20
2025-05-05,交通集中,関越道,18:55:00,19:05:00,4.0,13.4,2.0,120
2025-05-05,交通集中,関越道,14:45:00,16:35:00,39.1,21.2,0.0,255
2025-05-05,交通集中,関越道,20:30:00,20:40:00,8.0,21.2,0.0,185
2025-05-05,交通集中,関越道,19:35:00,19:35:00,28.8,22.7,28.8,55
2025-05-05,交通集中,関越道,19:00:00,19:00:00,30.8,24.3,30.8,25
2025-05-05,交通集中,関越道,15:35:00,16:10:00,32.7,29.6,30.7,40
2025-05-05,交通集中,関越道,20:00:00,20:00:00,21.9,29.6,21.9,80
2025-05-05,交通集中,関越道,12:00:00,13:35:00,27.3,33.0,0.0,215
2025-05-05,交通集中,関越道,16:15:00,16:15:00,29.3,33.0,29.3,15
2025-05-05,交通集中,関越道,21:20:00,21:25:00,18.5,33.0,0.0,200
2025-05-05,交通集中,関越道,21:50:00,23:25:00,10.2,60.3,4.1,115
2025-05-05,交通集中,関越道,23:00:00,23:00:00,1.8,70.5,1.8,15
2025-05-05,交通集中,関越道,12:25:00,12:25:00,3.1,75.5,3.1,230
2025-05-05,交通集中,関越道,17:10:00,17:10:00,3.1,75.5,3.1,365
2025-05-05,交通集中,関越道,12:25:00,12:45:00,8.1,93.8,4.3,45
2025-05-05,交通集中,関越道,11:35:00,12:00:00,4.5,95.7,2.4,30
2025-05-05,交通集中,関越道,13:10:00,13:20:00,7.7,95.7,6.2,65
2025-05-05,交通集中,関越道,14:45:00,15:50:00,11.3,95.7,6.2,285
2025-05-06,交通集中,関越道,11:10:00,11:10:00,1.2,0.0,1.2,30
2025-05-06,交通集中,関越道,12:55:00,12:55:00,1.2,0.0,1.2,25
2025-05-06,交通集中,関越道,13:40:00,15:15:00,3.1,0.0,0.0,190
2025-05-06,交通集中,関越道,18:55:00,18:55:00,2.0,13.4,2.0,15
2025-05-06,交通集中,関越道,11:10:00,14:00:00,25.5,33.0,0.0,465
2025-05-06,交通集中,関越道,13:40:00,13:40:00,14.8,47.5,14.8,20
2025-05-06,交通集中,関越道,12:05:00,12:40:00,5.5,51.5,3.6,45
2025-05-06,交通集中,関越道,11:20:00,11:20:00,1.8,53.3,1.8,45
