direction,start_name,end_name,start_code,end_code,KP,start_lat,end_lat,start_lng,end_lng,kukan_name,no
down,大泉ＪＣＴ,所沢,1110210,1800006,2.48,35.75582,35.80615,139.6015139,139.5355111,down_大泉ＪＣＴ~所沢_2.5,0
down,大泉ＪＣＴ,所沢,1110210,1800006,6.0,35.75582,35.80615,139.6015139,139.5355111,down_大泉ＪＣＴ~所沢_6.0,1
down,所沢,三芳ＰＡ,1800006,1800011,10.21,35.80615,35.83909,139.5355111,139.5064667,down_所沢~三芳ＰＡ_10.2,2
down,所沢,三芳ＰＡ,1800006,1800011,12.4,35.80615,35.83909,139.5355111,139.5064667,down_所沢~三芳ＰＡ_12.4,3
down,三芳ＰＡ,川越,1800011,1800016,14.6,35.83909,35.89213,139.5064667,139.4641,down_三芳ＰＡ~川越_14.6,4
down,川越,鶴ヶ島ＪＣＴ,1800016,1800021,21.95,35.89213,35.92886,139.4641,139.4081861,down_川越~鶴ヶ島ＪＣＴ_21.9,5
down,鶴ヶ島ＪＣＴ,鶴ヶ島,1800021,1800026,28.98,35.92886,35.94532,139.4081861,139.4011389,down_鶴ヶ島ＪＣＴ~鶴ヶ島_29.0,6
down,東松山,嵐山小川,1800036,1800041,41.54,36.02462,36.06374,139.3866944,139.3122944,down_東松山~嵐山小川_41.5,7
up,所沢,大泉ＪＣＴ,1800006,1110210,6.0,35.80615,35.75582,139.5355111,139.6015139,up_所沢~大泉ＪＣＴ_6.0,0
up,所沢,大泉ＪＣＴ,1800006,1110210,3.9,35.80615,35.75582,139.5355111,139.6015139,up_所沢~大泉ＪＣＴ_3.9,1
up,三芳ＰＡ,所沢,1800011,1800006,10.21,35.83909,35.80615,139.5064667,139.5355111,up_三芳ＰＡ~所沢_10.2,2
up,川越,三芳ＰＡ,1800016,1800011,14.6,35.89213,35.83909,139.4641,139.5064667,up_川越~三芳ＰＡ_14.6,3
up,鶴ヶ島ＪＣＴ,川越,1800021,1800016,21.95,35.92886,35.89213,139.4081861,139.4641,up_鶴ヶ島ＪＣＴ~川越_21.9,4
up,嵐山小川,東松山,1800041,1800036,41.54,36.06374,36.02462,139.3122944,139.3866944,up_嵐山小川~東松山_41.5,5
