direction,start_name,end_name,start_code,end_code,KP,start_lat,end_lat,start_lng,end_lng,kukan_name,no
down,東京ＪＣＴ,大和隧道,1110101,1217124,3.2,35.6811,35.6892,139.6848,139.7032,down_東京ＪＣＴ~大和隧道_3.2,0
down,東京ＪＣＣＴ,大和隧道,1110101,1217124,6.5,35.6811,35.6892,139.6848,139.7032,down_東京ＪＣＣＴ~大和隧道_6.5,1
down,大和隧道,川口,1217124,1217133,10.8,35.6892,35.8102,139.7032,139.7585,down_大和隧道~川口_10.8,2
down,川口,佐倉,1217133,1217164,28.5,35.8102,35.9045,139.7585,140.1832,down_川口~佐倉_28.5,3
down,佐倉,四街道,1217164,1217173,36.2,35.9045,35.9625,140.1832,140.2456,down_佐倉~四街道_36.2,4
down,四街道,千葉,1217173,1217178,43.1,35.9625,35.6047,140.2456,140.1236,down_四街道~千葉_43.1,5
up,大和隧道,東京ＪＣＴ,1217124,1110101,6.5,35.6892,35.6811,139.7032,139.6848,up_大和隧道~東京ＪＣＴ_6.5,0
up,川口,大和隧道,1217133,1217124,10.8,35.8102,35.6892,139.7585,139.7032,up_川口~大和隧道_10.8,1
up,佐倉,川口,1217164,1217133,28.5,35.9045,35.8102,140.1832,139.7585,up_佐倉~川口_28.5,2
up,四街道,佐倉,1217173,1217164,36.2,35.9625,35.9045,140.2456,140.1832,up_四街道~佐倉_36.2,3
up,千葉,四街道,1217178,1217173,43.1,35.6047,35.9625,140.1236,140.2456,up_千葉~四街道_43.1,4
